tt0054167,Horror,Thriller,PeepingTom,7.7,27853,"['KarlheinzBöhm', 'actor']","['AnnaMassey', 'actress']","['MoiraShearer', 'actress']","['MaxineAudley', 'actress']","['MichaelPowell', 'director']","['LeoMarks', 'writer']","['BrianEasdale', 'composer']","['OttoHeller', 'cinematographer']","['NoreenAckland', 'editor']"
tt0054176,Comedy,Family,Fantasy,PeterPan,1960-01-01,7.5,1846,"['SondraLee', 'actress']","['MaryMartin', 'actress']","['CyrilRitchard', 'actor']","['LynnFontanne', 'actress']","['MaureenBailey', 'actress']","['VincentJ.Donehue', 'director']","['JeromeRobbins', 'writer']","['J.M.Barrie', 'writer']","['DickLinkroum', 'producer']","['MargaloGillmore', 'actress']"
tt0054177,Drama,War,Lepetitsoldat,1963-01-25,7.3,5399,"['LilaHerman', 'editor']","['AnnaKarina', 'actress']","['MichelSubor', 'actor']","['Henri-JacquesHuet', 'actor']","['PaulBeauvais', 'actor']","['Jean-LucGodard', 'director']","['GeorgesdeBeauregard', 'producer']","['MauriceLeroux', 'composer']","['RaoulCoutard', 'cinematographer']","['AgnèsGuillemot', 'editor']"
tt0054189,Crime,Drama,Thriller,Pleinsoleil,1960-03-10,7.8,12345,"['GoffredoLombardo', 'producer']","['AlainDelon', 'actor']","['MauriceRonet', 'actor']","['MarieLaforêt', 'actress']","['ErnoCrisa', 'actor']","['RenéClément', 'director']","['PatriciaHighsmith', 'writer']","['PaulGégauff', 'writer']","['RaymondHakim', 'producer']","['RobertHakim', 'producer']"
tt0054205,Documentary,Primary,1960-01-01,7.1,991,"['PhilleoNash', 'self']","['RobertDrew', 'self']","['HubertH.Humphrey', 'self']","['MurielBuckHumphrey', 'self']","['JosephJulian', 'self']","['RichardLeacock', 'cinematographer']","['AlbertMaysles', 'cinematographer']","['JacquelineKennedy', 'self']","['JohnF.Kennedy', 'self']","['RobertF.Kennedy', 'self']"
tt0054209,Thriller,PrivateProperty,1960-01-20,6.8,552,"['JulesMaitland', 'actor']","['KateManx', 'actress']","['CoreyAllen', 'actor']","['WarrenOates', 'actor']","['JeromeCowan', 'actor']","['LeslieStevens', 'director']","['StanleyColbert', 'producer']","['TedD.McCord', 'cinematographer']","['JerryYoung', 'editor']","['RobertWark', 'actor']"
tt0054215,Drama,Horror,Thriller,Psycho,1960-06-16,8.5,554874,"['GeorgeTomasini', 'editor']","['AnthonyPerkins', 'actor']","['JanetLeigh', 'actress']","['VeraMiles', 'actress']","['JohnGavin', 'actor']","['AlfredHitchcock', 'director']","['JosephStefano', 'writer']","['RobertBloch', 'writer']","['BernardHerrmann', 'composer']","['JohnL.Russell', 'cinematographer']"
tt0054244,Drama,Thriller,Suspect,1960-01-01,6.5,95,"['JohnJympson', 'editor']","['TonyBritton', 'actor']","['VirginiaMaskell', 'actress']","['IanBannen', 'actor']","['PeterCushing', 'actor']","['JohnBoulting', 'director']","['RoyBoulting', 'director']","['NigelBalchin', 'writer']","['JeffreyDell', 'writer']","['MutzGreenbaum', 'cinematographer']"
tt0054248,Crime,Drama,Thriller,Roccoeisuoifratelli,1960-10-06,8.3,14833,"['EnricoMedioli', 'writer']","['AlainDelon', 'actor']","['RenatoSalvatori', 'actor']","['AnnieGirardot', 'actress']","['ClaudiaCardinale', 'actress']","['LuchinoVisconti', 'director']","['""SusoCecchiDAmico""', 'writer']","['VascoPratolini', 'writer']","['PasqualeFestaCampanile', 'writer']","['MassimoFranciosa', 'writer']"
tt0054331,Action,Drama,History,Spartacus,1960-10-06,7.9,115728,"['EdwardLewis', 'producer']","['KirkDouglas', 'actor']","['LaurenceOlivier', 'actor']","['JeanSimmons', 'actress']","['CharlesLaughton', 'actor']","['StanleyKubrick', 'director']","['DaltonTrumbo', 'writer']","['HowardFast', 'writer']","['PeterUstinov', 'writer']","['CalderWillingham', 'writer']"
