tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0012349,"['Comedy', 'Drama']",The Kid,1921-01-21,8.0,404,"['nm0088471', 'actor']","['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0001067', 'actor']","['nm0588033', 'actor']","['nm0042317', 'actor']","['nm0047800', 'actress']","['nm0048798', 'actress']","['nm0074788', 'actor']","['nm0080930', 'actor']"
tt0012364,"['Drama', 'Fantasy', 'Horror']",Körkarlen,1921-01-01,7.7,70,"['nm0043509', 'actor']","['nm0803705', 'actor']","['nm0096737', 'actress']","['nm0841061', 'actor']","['nm0391474', 'actress']","['nm0481248', 'writer']","['nm0005748', 'cinematographer']","['nm0782943', 'actress']","['nm0526479', 'actress']","['nm0917912', 'actor']"
tt0012494,"['Thriller', 'Drama', 'Fantasy']",Der müde Tod,1921-10-06,7.4,25,"['nm0771954', 'composer']","['nm0324553', 'actor']","['nm0196820', 'actress']","['nm0418079', 'actor']","['nm0827905', 'actor']","['nm0000485', 'director']","['nm0902376', 'writer']","['nm0690143', 'producer']","['nm0005959', 'composer']","['nm0006272', 'composer']"
tt0012645,['Drama'],Sappho,1921-09-09,8.0,1,"['nm0905876', 'actress']","['nm0624470', 'actress']","['nm0726256', 'actor']","['nm0002154', 'actor']","['nm0826210', 'actor']","['nm0118266', 'director']","['nm0241416', 'writer']","['nm0899298', 'cinematographer']","['nm0596414', 'actress']","['nm1273248', 'actor']"
tt0013086,"['Crime', 'Drama', 'Mystery', 'Thriller']","Dr. Mabuse, der Spieler",1922-04-27,7.6,35,"['nm0004592', 'composer']","['nm0459030', 'actor']","['nm0250790', 'actress']","['nm0919684', 'actress']","['nm0002154', 'actor']","['nm0000485', 'director']","['nm0415167', 'writer']","['nm0902376', 'writer']","['nm0690143', 'producer']","['nm0253301', 'composer']"
tt0013099,['Comedy'],The Electric House,1922-10-01,7.1,15,"['nm0000036', 'actor']","['nm0289295', 'actress']","['nm0444172', 'actor']","['nm0444174', 'actress']","['nm0166836', 'director']","['nm1084708', 'writer']","['nm0004592', 'composer']"
tt0013257,['Horror'],Häxan,1922-09-18,7.5,66,"['nm0002727', 'composer']","['nm0159725', 'actor']","['nm0159770', 'actress']","['nm0669922', 'actress']","['nm0690702', 'actress']","['nm0125762', 'composer']","['nm0345014', 'composer']","['nm0401654', 'composer']","['nm0433578', 'composer']","['nm0716082', 'composer']"
tt0013427,['Documentary'],Nanook of the North,1922-06-11,7.2,50,"['nm1354245', 'actor']","['nm0638725', 'actress']","['nm0192066', 'actress']","['nm0020180', 'actor']","['nm0280904', 'director']","['nm0280878', 'writer']","['nm1018886', 'composer']","['nm0798978', 'composer']","['nm2625039', 'editor']"
tt0013442,"['Fantasy', 'Horror']","Nosferatu, eine Symphonie des Grauens",1922-03-15,7.7,373,"['nm0002302', 'composer']","['nm0775180', 'actor']","['nm0334603', 'actor']","['nm0903194', 'actor']","['nm0775659', 'actress']","['nm0003638', 'director']","['nm0301961', 'writer']","['nm0831290', 'writer']","['nm0225868', 'producer']","['nm0336057', 'producer']"
tt0013496,"['Drama', 'Fantasy']",Phantom,1922-11-13,7.3,6,"['nm0004592', 'composer']","['nm0002154', 'actor']","['nm0723801', 'actress']","['nm0250790', 'actress']","['nm0903145', 'actor']","['nm0003638', 'director']","['nm0369458', 'writer']","['nm0902376', 'writer']","['nm2155614', 'producer']","['nm0690143', 'producer']"
